data1;dato2;dato3;dato4;time
01.38530;679350;164;1;04.07.10.020
01.38643;679351;164;1;04.07.10.020
01.38718;679352;164;1;04.07.10.020
01.38755;679353;164;1;04.07.10.020
01.38455;679354;164;1;04.07.10.020
01.38568;679355;164;1;04.07.10.020
01.38267;679356;164;1;04.07.10.020
01.38530;679357;164;1;04.07.10.020
01.38492;679358;164;1;04.07.10.020
01.38455;679359;164;1;04.07.10.020
00.76256;679360;190;1;04.07.10.064
00.74555;679361;190;1;04.07.10.064
00.76227;679362;190;1;04.07.10.064
00.76603;679363;190;1;04.07.10.064
00.77416;679364;190;1;04.07.10.064
00.78319;679365;190;1;04.07.10.064
00.79460;679366;190;1;04.07.10.064
00.80903;679367;190;1;04.07.10.064
00.82474;679368;190;1;04.07.10.064
00.84355;679369;190;1;04.07.10.064
00.85076;679370;190;1;04.07.10.119
00.88745;679371;190;1;04.07.10.119
00.91111;679372;190;1;04.07.10.119
00.93532;679373;190;1;04.07.10.119
00.96106;679374;190;1;04.07.10.119
00.98516;679375;190;1;04.07.10.119
01.01242;679376;190;1;04.07.10.119
01.03869;679377;190;1;04.07.10.119
01.06526;679378;190;1;04.07.10.119
01.08846;679379;190;1;04.07.10.119
01.11660;679380;190;1;04.07.10.163
01.14030;679381;190;1;04.07.10.163
01.16321;679382;190;1;04.07.10.163
01.18564;679383;190;1;04.07.10.163
01.20898;679384;190;1;04.07.10.163
01.23254;679385;190;1;04.07.10.163
01.24992;679386;190;1;04.07.10.163
01.26921;679387;190;1;04.07.10.163
01.28432;679388;190;1;04.07.10.163
01.30642;679389;190;1;04.07.10.174
01.32103;679390;190;1;04.07.10.207
01.33351;679391;190;1;04.07.10.207
01.34568;679392;190;1;04.07.10.207
01.36051;679393;190;1;04.07.10.207
01.37169;679394;190;1;04.07.10.207
01.38180;679395;190;1;04.07.10.207
01.39157;679396;190;1;04.07.10.207
01.40024;679397;190;1;04.07.10.207
01.40971;679398;190;1;04.07.10.218
01.41616;679399;190;1;04.07.10.218
01.42301;679400;190;1;04.07.10.262
01.42797;679401;190;1;04.07.10.262
01.43218;679402;190;1;04.07.10.262
01.43869;679403;190;1;04.07.10.262
01.43677;679404;190;1;04.07.10.262
01.44560;679405;190;1;04.07.10.273
01.44906;679406;190;1;04.07.10.273
01.45369;679407;190;1;04.07.10.273
01.45253;679408;190;1;04.07.10.273
01.45639;679409;190;1;04.07.10.273
01.45871;679410;190;1;04.07.10.305
01.45099;679411;190;1;04.07.10.305
01.46064;679412;190;1;04.07.10.305
01.46219;679413;190;1;04.07.10.316
01.46257;679414;190;1;04.07.10.316
01.46374;679415;190;1;04.07.10.316
01.46645;679416;190;1;04.07.10.316
01.46645;679417;190;1;04.07.10.316
01.46645;679418;190;1;04.07.10.316
