data1;dato2;dato3;dato4;time
03.87833;546350;135;0;03.53.01.734
03.86253;546351;135;0;03.53.01.734
03.87667;546352;135;0;03.53.01.734
03.88083;546353;135;0;03.53.01.734
03.88167;546354;135;0;03.53.01.734
03.88919;546355;135;0;03.53.01.734
03.88835;546356;135;0;03.53.01.734
03.89170;546357;135;0;03.53.01.734
03.89337;546358;135;0;03.53.01.734
03.89923;546359;135;0;03.53.01.734
03.89504;546360;135;1;03.53.01.771
03.90510;546361;135;1;03.53.01.771
03.90678;546362;135;1;03.53.01.771
03.90930;546363;135;1;03.53.01.771
03.91267;546364;135;1;03.53.01.771
03.91856;546365;135;1;03.53.01.771
03.91772;546366;135;1;03.53.01.782
03.92109;546367;135;1;03.53.01.782
03.91603;546368;135;1;03.53.01.782
03.92025;546369;135;1;03.53.01.782
04.24457;546370;130;1;03.53.01.815
04.24457;546371;130;1;03.53.01.815
04.24549;546372;130;1;03.53.01.815
04.24365;546373;130;1;03.53.01.826
04.24091;546374;130;1;03.53.01.826
04.23816;546375;130;1;03.53.01.826
04.22629;546376;130;1;03.53.01.826
04.22264;546377;130;1;03.53.01.826
04.21082;546378;130;1;03.53.01.826
04.19721;546379;130;1;03.53.01.826
04.18998;546380;130;1;03.53.01.859
04.17195;546381;130;1;03.53.01.859
04.15758;546382;130;1;03.53.01.859
04.14684;546383;130;1;03.53.01.870
04.13346;546384;130;1;03.53.01.870
04.09799;546385;130;1;03.53.01.870
04.10860;546386;130;1;03.53.01.870
04.08741;546387;130;1;03.53.01.870
04.07423;546388;130;1;03.53.01.870
04.05410;546389;130;1;03.53.01.870
04.04277;546390;130;1;03.53.01.913
04.03148;546391;130;1;03.53.01.924
04.01503;546392;130;1;03.53.01.924
04.00381;546393;130;1;03.53.01.924
03.98919;546394;130;1;03.53.01.924
03.98148;546395;130;1;03.53.01.924
03.96012;546396;130;1;03.53.01.924
03.95247;546397;130;1;03.53.01.924
03.94313;546398;130;1;03.53.01.924
03.93127;546399;130;1;03.53.01.924
03.92114;546400;130;1;03.53.01.968
