data1;dato2;dato3;dato4;time
02.18846;745570;164;0;04.12.37.791
02.18644;745571;164;0;04.12.37.791
02.18493;745572;164;0;04.12.37.791
02.18795;745573;164;0;04.12.37.791
02.18846;745574;164;0;04.12.37.791
02.18644;745575;164;0;04.12.37.791
02.18745;745576;164;0;04.12.37.802
02.18795;745577;164;0;04.12.37.802
02.18745;745578;164;0;04.12.37.802
02.18745;745579;164;0;04.12.37.802
02.17740;745580;164;1;04.12.37.846
02.18745;745581;164;1;04.12.37.846
02.18745;745582;164;1;04.12.37.857
02.18946;745583;164;1;04.12.37.857
02.18896;745584;164;1;04.12.37.857
02.18846;745585;164;1;04.12.37.857
02.18846;745586;164;1;04.12.37.857
02.18997;745587;164;1;04.12.37.857
02.18795;745588;164;1;04.12.37.857
02.18795;745589;164;1;04.12.37.857
02.15342;745590;165;1;04.12.37.890
02.15143;745591;165;1;04.12.37.890
02.15292;745592;165;1;04.12.37.901
02.14994;745593;165;1;04.12.37.901
02.15491;745594;165;1;04.12.37.901
02.15591;745595;165;1;04.12.37.901
02.15441;745596;165;1;04.12.37.901
02.15690;745597;165;1;04.12.37.901
02.15790;745598;165;1;04.12.37.901
02.15939;745599;165;1;04.12.37.901
02.16089;745600;165;1;04.12.37.956
02.15889;745601;165;1;04.12.37.956
02.16488;745602;165;1;04.12.37.956
02.16588;745603;165;1;04.12.37.956
02.16688;745604;165;1;04.12.37.956
02.16688;745605;165;1;04.12.37.956
02.16638;745606;165;1;04.12.37.956
02.16888;745607;165;1;04.12.37.956
02.16838;745608;165;1;04.12.37.956
02.17238;745609;165;1;04.12.37.956
02.17339;745610;165;1;04.12.38.000
02.17339;745611;165;1;04.12.38.000
02.17439;745612;165;1;04.12.38.000
02.17589;745613;165;1;04.12.38.000
02.17639;745614;165;1;04.12.38.000
02.18091;745615;165;1;04.12.38.000
02.17890;745616;165;1;04.12.38.000
02.18041;745617;165;1;04.12.38.000
02.17990;745618;165;1;04.12.38.000
02.18242;745619;165;1;04.12.38.000
02.18342;745620;165;1;04.12.38.044
02.18141;745621;165;1;04.12.38.044
02.18493;745622;165;1;04.12.38.044
02.18543;745623;165;1;04.12.38.044
02.18543;745624;165;1;04.12.38.044
02.18443;745625;165;1;04.12.38.044
02.18694;745626;165;1;04.12.38.044
02.18694;745627;165;1;04.12.38.044
02.18593;745628;165;1;04.12.38.044
02.18845;745629;165;1;04.12.38.044
02.17339;745630;165;1;04.12.38.098
02.18744;745631;165;1;04.12.38.098
02.18342;745632;165;1;04.12.38.098
02.18895;745633;165;1;04.12.38.098
02.18593;745634;165;1;04.12.38.098
02.18946;745635;165;1;04.12.38.098
02.18543;745636;165;1;04.12.38.098
02.18895;745637;165;1;04.12.38.098
02.18946;745638;165;1;04.12.38.098
02.18744;745639;165;1;04.12.38.109
02.18845;745640;165;1;04.12.38.142
02.18694;745641;165;1;04.12.38.142
02.18895;745642;165;1;04.12.38.142
02.18493;745643;165;1;04.12.38.142
02.18845;745644;165;1;04.12.38.142
02.18593;745645;165;1;04.12.38.142
02.18795;745646;165;1;04.12.38.142
02.18996;745647;165;1;04.12.38.153
02.18694;745648;165;1;04.12.38.153
02.18895;745649;165;1;04.12.38.153
02.18845;745650;165;0;04.12.38.197
02.18845;745651;165;0;04.12.38.197
02.18845;745652;165;0;04.12.38.197
02.18895;745653;165;0;04.12.38.197
02.18996;745654;165;0;04.12.38.197
02.18694;745655;165;0;04.12.38.197
02.19047;745656;165;0;04.12.38.208
02.18493;745657;165;0;04.12.38.208
02.18593;745658;165;0;04.12.38.208
02.18895;745659;165;0;04.12.38.208
02.18845;745660;165;0;04.12.38.241
02.18946;745661;165;0;04.12.38.241
02.19047;745662;165;0;04.12.38.241
02.18996;745663;165;0;04.12.38.241
02.18644;745664;165;0;04.12.38.251
02.18795;745665;165;0;04.12.38.251
02.18895;745666;165;0;04.12.38.251
02.18895;745667;165;0;04.12.38.251
02.18744;745668;165;0;04.12.38.251
02.18795;745669;165;0;04.12.38.251
02.18845;745670;165;0;04.12.38.283
02.19097;745671;165;0;04.12.38.283
02.18946;745672;165;0;04.12.38.294
02.18694;745673;165;0;04.12.38.294
02.18895;745674;165;0;04.12.38.294
02.19097;745675;165;0;04.12.38.294
02.18895;745676;165;0;04.12.38.294
02.18644;745677;165;0;04.12.38.294
02.18845;745678;165;0;04.12.38.294
02.18795;745679;165;0;04.12.38.294
02.18795;745680;165;0;04.12.38.349
02.18996;745681;165;0;04.12.38.349
02.17639;745682;165;0;04.12.38.349
02.18946;745683;165;0;04.12.38.349
02.18946;745684;165;0;04.12.38.349
02.18996;745685;165;0;04.12.38.349
02.18795;745686;165;0;04.12.38.349
02.18845;745687;165;0;04.12.38.349
02.18895;745688;165;0;04.12.38.349
02.18644;745689;165;0;04.12.38.349
02.18795;745690;165;0;04.12.38.393
02.18996;745691;165;0;04.12.38.393
02.19047;745692;165;0;04.12.38.393
02.18694;745693;165;0;04.12.38.393
02.18996;745694;165;0;04.12.38.393
02.18946;745695;165;0;04.12.38.393
02.19047;745696;165;0;04.12.38.393
02.18895;745697;165;0;04.12.38.393
02.18744;745698;165;0;04.12.38.393
02.19047;745699;165;0;04.12.38.393
02.18946;745700;165;0;04.12.38.448
02.19047;745701;165;0;04.12.38.448
02.18845;745702;165;0;04.12.38.448
02.18996;745703;165;0;04.12.38.448
02.19047;745704;165;0;04.12.38.448
02.18694;745705;165;0;04.12.38.448
02.19097;745706;165;0;04.12.38.448
02.18493;745707;165;0;04.12.38.448
02.19097;745708;165;0;04.12.38.448
02.18845;745709;165;0;04.12.38.448
02.18845;745710;165;0;04.12.38.492
02.18946;745711;165;0;04.12.38.492
02.19097;745712;165;0;04.12.38.492
02.19097;745713;165;0;04.12.38.492
02.18694;745714;165;0;04.12.38.492
02.19097;745715;165;0;04.12.38.492
02.18895;745716;165;0;04.12.38.492
02.18744;745717;165;0;04.12.38.492
02.18694;745718;165;0;04.12.38.492
02.18895;745719;165;0;04.12.38.504
02.18845;745720;165;0;04.12.38.537
02.18744;745721;165;0;04.12.38.537
02.18845;745722;165;0;04.12.38.537
02.19097;745723;165;0;04.12.38.537
02.19147;745724;165;0;04.12.38.537
02.19097;745725;165;0;04.12.38.537
02.18946;745726;165;0;04.12.38.537
02.19047;745727;165;0;04.12.38.537
02.18895;745728;165;0;04.12.38.537
02.18845;745729;165;0;04.12.38.548
02.18845;745730;165;0;04.12.38.592
02.19097;745731;165;0;04.12.38.592
02.19147;745732;165;0;04.12.38.592
02.18996;745733;165;0;04.12.38.592
02.18895;745734;165;0;04.12.38.592
02.18795;745735;165;0;04.12.38.592
02.18946;745736;165;0;04.12.38.592
02.18593;745737;165;0;04.12.38.603
02.18795;745738;165;0;04.12.38.603
02.18644;745739;165;0;04.12.38.603
02.18845;745740;165;0;04.12.38.635
02.18593;745741;165;0;04.12.38.635
02.18946;745742;165;0;04.12.38.635
02.18895;745743;165;0;04.12.38.635
