data1;dato2;dato3;dato4;time
02.72747;479930;175;1;03.47.32.869
02.72867;479931;175;1;03.47.32.869
02.72387;479932;175;1;03.47.32.869
02.72507;479933;175;1;03.47.32.869
02.72627;479934;175;1;03.47.32.869
02.72867;479935;175;1;03.47.32.869
02.72627;479936;175;1;03.47.32.880
02.72747;479937;175;1;03.47.32.880
02.72567;479938;175;1;03.47.32.880
02.72867;479939;175;1;03.47.32.880
03.92344;479940;152;1;03.47.32.923
03.91838;479941;152;1;03.47.32.923
03.91838;479942;152;1;03.47.32.923
03.92513;479943;152;1;03.47.32.923
03.92007;479944;152;1;03.47.32.934
03.91586;479945;152;1;03.47.32.934
03.91081;479946;152;1;03.47.32.934
03.89738;479947;152;1;03.47.32.934
03.88483;479948;152;1;03.47.32.934
03.86152;479949;152;1;03.47.32.934
03.84083;479950;152;1;03.47.32.967
03.81696;479951;152;1;03.47.32.967
03.78267;479952;152;1;03.47.32.978
03.75514;479953;152;1;03.47.32.978
03.72221;479954;152;1;03.47.32.978
03.68481;479955;152;1;03.47.32.978
03.65092;479956;152;1;03.47.32.978
03.61735;479957;152;1;03.47.32.978
03.57869;479958;152;1;03.47.32.978
03.53968;479959;152;1;03.47.32.978
03.51314;479960;152;1;03.47.33.011
03.47333;479961;152;1;03.47.33.021
03.44210;479962;152;1;03.47.33.021
03.40893;479963;152;1;03.47.33.021
03.38480;479964;152;1;03.47.33.021
03.35649;479965;152;1;03.47.33.021
03.32268;479966;152;1;03.47.33.021
03.29842;479967;152;1;03.47.33.021
03.27716;479968;152;1;03.47.33.021
03.25251;479969;152;1;03.47.33.021
03.22525;479970;152;1;03.47.33.076
03.21343;479971;152;1;03.47.33.076
03.19682;479972;152;1;03.47.33.076
03.17754;479973;152;1;03.47.33.076
03.16178;479974;152;1;03.47.33.076
03.15018;479975;152;1;03.47.33.076
03.13794;479976;152;1;03.47.33.076
03.12507;479977;152;1;03.47.33.076
03.11629;479978;152;1;03.47.33.076
03.10148;479979;152;1;03.47.33.076
03.09544;479980;152;1;03.47.33.119
03.09343;479981;152;1;03.47.33.119
03.08072;479982;152;1;03.47.33.119
03.07406;479983;152;1;03.47.33.119
03.07139;479984;152;1;03.47.33.119
03.06341;479985;152;1;03.47.33.119
03.06142;479986;152;1;03.47.33.119
03.05744;479987;152;1;03.47.33.119
03.05082;479988;152;1;03.47.33.119
03.04884;479989;152;1;03.47.33.130
03.04487;479990;152;1;03.47.33.174
03.04157;479991;152;1;03.47.33.174
03.04355;479992;152;1;03.47.33.174
03.04157;479993;152;1;03.47.33.174
03.04289;479994;152;1;03.47.33.174
03.03893;479995;152;1;03.47.33.174
03.03564;479996;152;1;03.47.33.174
03.03761;479997;152;1;03.47.33.174
03.03498;479998;152;1;03.47.33.184
03.03498;479999;152;1;03.47.33.184
03.33565;480000;146;1;03.47.33.217
03.33421;480001;146;1;03.47.33.217
03.33565;480002;146;1;03.47.33.217
03.33206;480003;146;1;03.47.33.217
03.32632;480004;146;1;03.47.33.217
03.32488;480005;146;1;03.47.33.228
03.31487;480006;146;1;03.47.33.228
03.30559;480007;146;1;03.47.33.228
03.29848;480008;146;1;03.47.33.228
03.28925;480009;146;1;03.47.33.228
03.27792;480010;146;1;03.47.33.260
