data1;dato2;dato3;dato4;time
03.27792;485390;146;1;03.47.59.911
03.27439;485391;146;1;03.47.59.911
03.27368;485392;146;1;03.47.59.911
03.27580;485393;146;1;03.47.59.911
03.27227;485394;146;1;03.47.59.922
03.25818;485395;146;1;03.47.59.922
03.27227;485396;146;1;03.47.59.922
03.27368;485397;146;1;03.47.59.922
03.27156;485398;146;1;03.47.59.922
03.26874;485399;146;1;03.47.59.922
03.53826;485400;141;1;03.47.59.966
03.53066;485401;141;1;03.47.59.977
03.53066;485402;141;1;03.47.59.977
03.52611;485403;141;1;03.47.59.977
03.52459;485404;141;1;03.47.59.977
03.52005;485405;141;1;03.47.59.977
03.50947;485406;141;1;03.47.59.977
03.50269;485407;141;1;03.47.59.977
03.49516;485408;141;1;03.47.59.977
03.48691;485409;141;1;03.47.59.977
03.47418;485410;141;1;03.48.00.021
03.45110;485411;141;1;03.48.00.021
03.45110;485412;141;1;03.48.00.021
03.44220;485413;141;1;03.48.00.021
03.42816;485414;141;1;03.48.00.021
03.41931;485415;141;1;03.48.00.021
03.40536;485416;141;1;03.48.00.021
03.39512;485417;141;1;03.48.00.021
03.38344;485418;141;1;03.48.00.021
03.36963;485419;141;1;03.48.00.021
03.34289;485420;141;1;03.48.00.075
03.34937;485421;141;1;03.48.00.075
03.34145;485422;141;1;03.48.00.075
03.32923;485423;141;1;03.48.00.075
03.32565;485424;141;1;03.48.00.075
03.31277;485425;141;1;03.48.00.075
03.30493;485426;141;1;03.48.00.075
03.30066;485427;141;1;03.48.00.075
03.28787;485428;141;1;03.48.00.075
03.28291;485429;141;1;03.48.00.075
03.27725;485430;141;1;03.48.00.119
03.27231;485431;141;1;03.48.00.119
03.26878;485432;141;1;03.48.00.119
03.26385;485433;141;1;03.48.00.119
03.26104;485434;141;1;03.48.00.119
03.25752;485435;141;1;03.48.00.119
03.25120;485436;141;1;03.48.00.119
03.25261;485437;141;1;03.48.00.119
03.25050;485438;141;1;03.48.00.119
03.24350;485439;141;1;03.48.00.130
03.24490;485440;141;1;03.48.00.163
03.24000;485441;141;1;03.48.00.163
03.24070;485442;141;1;03.48.00.163
03.23790;485443;141;1;03.48.00.163
03.23441;485444;141;1;03.48.00.163
03.23930;485445;141;1;03.48.00.163
03.23650;485446;141;1;03.48.00.163
03.22883;485447;141;1;03.48.00.163
03.23371;485448;141;1;03.48.00.163
03.22953;485449;141;1;03.48.00.174
03.23790;485450;141;1;03.48.00.218
03.23162;485451;141;1;03.48.00.218
03.23371;485452;141;1;03.48.00.218
03.23371;485453;141;1;03.48.00.218
03.22743;485454;141;1;03.48.00.218
03.23371;485455;141;1;03.48.00.218
03.23232;485456;141;1;03.48.00.229
03.23371;485457;141;1;03.48.00.229
03.23022;485458;141;1;03.48.00.229
03.23022;485459;141;1;03.48.00.229
03.23301;485460;141;0;03.48.00.261
03.21422;485461;141;0;03.48.00.261
03.23650;485462;141;0;03.48.00.261
03.23441;485463;141;0;03.48.00.261
03.23511;485464;141;0;03.48.00.261
03.23511;485465;141;0;03.48.00.272
03.23511;485466;141;0;03.48.00.272
03.23441;485467;141;0;03.48.00.272
03.23511;485468;141;0;03.48.00.272
03.23581;485469;141;0;03.48.00.272
03.21700;485470;141;0;03.48.00.316
03.23092;485471;141;0;03.48.00.316
03.23511;485472;141;0;03.48.00.316
03.23581;485473;141;0;03.48.00.327
03.23790;485474;141;0;03.48.00.327
03.23441;485475;141;0;03.48.00.327
03.23441;485476;141;0;03.48.00.327
03.23511;485477;141;0;03.48.00.327
03.23790;485478;141;0;03.48.00.327
03.22465;485479;141;0;03.48.00.327
03.23720;485480;141;0;03.48.00.370
03.23301;485481;141;0;03.48.00.370
03.23371;485482;141;0;03.48.00.370
03.23162;485483;141;0;03.48.00.370
03.23371;485484;141;0;03.48.00.370
03.23441;485485;141;0;03.48.00.370
03.23720;485486;141;0;03.48.00.370
03.23581;485487;141;0;03.48.00.370
03.23581;485488;141;0;03.48.00.370
03.23022;485489;141;0;03.48.00.370
03.23650;485490;141;0;03.48.00.414
03.23650;485491;141;0;03.48.00.414
03.23511;485492;141;0;03.48.00.414
03.23511;485493;141;0;03.48.00.414
03.23930;485494;141;0;03.48.00.414
03.23650;485495;141;0;03.48.00.414
03.23581;485496;141;0;03.48.00.414
03.23371;485497;141;0;03.48.00.414
03.23790;485498;141;0;03.48.00.414
03.23511;485499;141;0;03.48.00.414
03.23720;485500;141;0;03.48.00.469
03.23441;485501;141;0;03.48.00.469
03.23581;485502;141;0;03.48.00.469
03.23650;485503;141;0;03.48.00.469
03.21770;485504;141;0;03.48.00.469
03.24000;485505;141;0;03.48.00.469
03.23720;485506;141;0;03.48.00.469
03.24000;485507;141;0;03.48.00.469
03.23441;485508;141;0;03.48.00.469
03.23650;485509;141;0;03.48.00.469
03.24000;485510;141;0;03.48.00.513
03.22187;485511;141;0;03.48.00.513
03.23860;485512;141;0;03.48.00.513
03.24070;485513;141;0;03.48.00.513
03.23720;485514;141;0;03.48.00.513
03.23930;485515;141;0;03.48.00.513
03.23720;485516;141;0;03.48.00.513
03.24210;485517;141;0;03.48.00.513
03.24070;485518;141;0;03.48.00.513
03.24070;485519;141;0;03.48.00.513
03.22326;485520;141;0;03.48.00.567
03.24140;485521;141;0;03.48.00.567
03.24210;485522;141;0;03.48.00.567
03.24350;485523;141;0;03.48.00.567
03.24350;485524;141;0;03.48.00.567
03.23860;485525;141;0;03.48.00.567
03.24140;485526;141;0;03.48.00.578
03.23650;485527;141;0;03.48.00.578
03.24070;485528;141;0;03.48.00.578
03.23930;485529;141;0;03.48.00.578
03.24210;485530;141;0;03.48.00.611
03.24000;485531;141;0;03.48.00.611
03.24000;485532;141;0;03.48.00.611
03.23860;485533;141;0;03.48.00.611
03.24140;485534;141;0;03.48.00.611
03.23720;485535;141;0;03.48.00.611
03.24000;485536;141;0;03.48.00.622
03.23930;485537;141;0;03.48.00.622
03.23860;485538;141;0;03.48.00.622
03.24000;485539;141;0;03.48.00.622
03.23650;485540;141;0;03.48.00.655
03.23860;485541;141;0;03.48.00.655
03.24000;485542;141;0;03.48.00.655
03.23860;485543;141;0;03.48.00.655
03.24070;485544;141;0;03.48.00.666
03.24140;485545;141;0;03.48.00.666
03.24070;485546;141;0;03.48.00.666
03.24070;485547;141;0;03.48.00.666
03.24000;485548;141;0;03.48.00.666
03.24000;485549;141;0;03.48.00.666
03.24140;485550;141;0;03.48.00.710
03.24000;485551;141;0;03.48.00.710
03.23930;485552;141;0;03.48.00.710
03.23720;485553;141;0;03.48.00.720
03.23581;485554;141;0;03.48.00.720
03.24000;485555;141;0;03.48.00.720
03.23930;485556;141;0;03.48.00.720
03.24350;485557;141;0;03.48.00.720
03.24070;485558;141;0;03.48.00.720
03.23930;485559;141;0;03.48.00.720
03.23930;485560;141;0;03.48.00.753
03.23720;485561;141;0;03.48.00.764
03.23930;485562;141;0;03.48.00.764
03.23371;485563;141;0;03.48.00.764
03.23860;485564;141;0;03.48.00.764
03.23860;485565;141;0;03.48.00.764
03.24210;485566;141;0;03.48.00.764
03.23790;485567;141;0;03.48.00.764
03.23720;485568;141;0;03.48.00.764
03.23930;485569;141;0;03.48.00.764
03.22047;485570;141;0;03.48.00.819
03.23860;485571;141;0;03.48.00.819
03.23860;485572;141;0;03.48.00.819
03.24140;485573;141;0;03.48.00.819
03.24000;485574;141;0;03.48.00.819
03.23720;485575;141;0;03.48.00.819
03.23930;485576;141;0;03.48.00.819
03.24070;485577;141;0;03.48.00.819
03.23930;485578;141;0;03.48.00.819
03.23930;485579;141;0;03.48.00.819
03.23650;485580;141;0;03.48.00.863
03.23650;485581;141;0;03.48.00.863
03.23860;485582;141;0;03.48.00.863
03.24350;485583;141;0;03.48.00.863
03.24070;485584;141;0;03.48.00.863
03.23790;485585;141;0;03.48.00.863
03.23930;485586;141;0;03.48.00.863
03.23720;485587;141;0;03.48.00.863
03.22813;485588;141;0;03.48.00.863
03.23860;485589;141;0;03.48.00.863
03.23511;485590;141;0;03.48.00.918
03.23581;485591;141;0;03.48.00.918
03.23720;485592;141;0;03.48.00.918
03.23720;485593;141;0;03.48.00.918
03.23790;485594;141;0;03.48.00.918
03.23790;485595;141;0;03.48.00.918
03.23860;485596;141;0;03.48.00.918
03.23790;485597;141;0;03.48.00.918
03.23650;485598;141;0;03.48.00.918
03.23860;485599;141;0;03.48.00.918
03.23581;485600;141;0;03.48.00.962
03.23720;485601;141;0;03.48.00.962
03.23581;485602;141;0;03.48.00.962
03.23790;485603;141;0;03.48.00.962
03.23790;485604;141;0;03.48.00.962
03.23720;485605;141;0;03.48.00.962
03.23581;485606;141;0;03.48.00.962
03.23790;485607;141;0;03.48.00.962
03.23860;485608;141;0;03.48.00.962
03.23511;485609;141;0;03.48.00.973
03.23860;485610;141;0;03.48.01.006
03.23790;485611;141;0;03.48.01.006
03.23860;485612;141;0;03.48.01.006
03.22187;485613;141;0;03.48.01.006
03.23581;485614;141;0;03.48.01.006
03.23930;485615;141;0;03.48.01.006
03.23650;485616;141;0;03.48.01.006
03.23720;485617;141;0;03.48.01.017
03.23790;485618;141;0;03.48.01.017
03.23860;485619;141;0;03.48.01.017
03.23301;485620;141;0;03.48.01.061
03.23581;485621;141;0;03.48.01.061
03.23581;485622;141;0;03.48.01.061
03.23441;485623;141;0;03.48.01.061
03.23790;485624;141;0;03.48.01.061
03.23930;485625;141;0;03.48.01.061
03.23720;485626;141;0;03.48.01.072
03.23441;485627;141;0;03.48.01.072
03.23511;485628;141;0;03.48.01.072
03.23720;485629;141;0;03.48.01.072
03.24070;485630;141;0;03.48.01.104
03.23441;485631;141;0;03.48.01.104
03.23790;485632;141;0;03.48.01.104
03.23720;485633;141;0;03.48.01.104
03.23790;485634;141;0;03.48.01.115
03.24350;485635;141;0;03.48.01.115
03.23720;485636;141;0;03.48.01.115
03.23581;485637;141;0;03.48.01.115
03.23650;485638;141;0;03.48.01.115
03.24070;485639;141;0;03.48.01.115
03.23860;485640;141;0;03.48.01.159
03.23790;485641;141;0;03.48.01.170
03.23650;485642;141;0;03.48.01.170
03.23650;485643;141;0;03.48.01.170
03.23790;485644;141;0;03.48.01.170
03.23720;485645;141;0;03.48.01.170
03.23790;485646;141;0;03.48.01.170
03.23860;485647;141;0;03.48.01.170
03.24000;485648;141;0;03.48.01.170
03.23301;485649;141;0;03.48.01.170
03.23581;485650;141;0;03.48.01.203
03.23790;485651;141;0;03.48.01.214
03.23790;485652;141;0;03.48.01.214
03.23720;485653;141;0;03.48.01.214
03.24070;485654;141;0;03.48.01.214
03.23790;485655;141;0;03.48.01.214
03.23441;485656;141;0;03.48.01.214
03.23720;485657;141;0;03.48.01.214
03.23790;485658;141;0;03.48.01.214
03.23860;485659;141;0;03.48.01.214
03.23581;485660;141;0;03.48.01.258
03.23650;485661;141;0;03.48.01.258
03.23790;485662;141;0;03.48.01.258
03.22813;485663;141;0;03.48.01.258
03.23720;485664;141;0;03.48.01.258
03.23581;485665;141;0;03.48.01.258
03.23371;485666;141;0;03.48.01.258
03.23860;485667;141;0;03.48.01.258
03.24070;485668;141;0;03.48.01.258
03.23720;485669;141;0;03.48.01.258
03.22117;485670;141;0;03.48.01.313
03.23930;485671;141;0;03.48.01.313
03.23930;485672;141;0;03.48.01.313
03.23581;485673;141;0;03.48.01.313
03.23301;485674;141;0;03.48.01.313
03.23930;485675;141;0;03.48.01.313
03.23860;485676;141;0;03.48.01.313
03.23581;485677;141;0;03.48.01.313
03.23790;485678;141;0;03.48.01.313
03.23511;485679;141;0;03.48.01.313
03.23790;485680;141;0;03.48.01.357
03.23511;485681;141;0;03.48.01.357
03.23790;485682;141;0;03.48.01.357
03.23720;485683;141;0;03.48.01.357
03.23581;485684;141;0;03.48.01.357
03.23441;485685;141;0;03.48.01.357
03.23790;485686;141;0;03.48.01.357
03.23790;485687;141;0;03.48.01.357
03.22743;485688;141;0;03.48.01.357
03.23790;485689;141;0;03.48.01.357
03.23511;485690;141;0;03.48.01.412
03.23790;485691;141;0;03.48.01.412
03.23441;485692;141;0;03.48.01.412
03.23581;485693;141;0;03.48.01.412
03.23650;485694;141;0;03.48.01.412
03.23371;485695;141;0;03.48.01.412
03.23511;485696;141;0;03.48.01.412
03.23441;485697;141;0;03.48.01.412
03.23511;485698;141;0;03.48.01.412
03.23162;485699;141;0;03.48.01.423
03.23650;485700;141;0;03.48.01.456
03.23371;485701;141;0;03.48.01.456
03.23650;485702;141;0;03.48.01.456
03.23860;485703;141;0;03.48.01.456
03.23860;485704;141;0;03.48.01.456
03.23860;485705;141;0;03.48.01.456
03.23162;485706;141;0;03.48.01.456
03.23301;485707;141;0;03.48.01.466
03.23301;485708;141;0;03.48.01.466
03.23232;485709;141;0;03.48.01.466
03.23301;485710;141;0;03.48.01.499
03.23232;485711;141;0;03.48.01.499
03.23860;485712;141;0;03.48.01.499
03.22953;485713;141;0;03.48.01.499
03.23301;485714;141;0;03.48.01.499
03.23301;485715;141;0;03.48.01.499
03.23650;485716;141;0;03.48.01.510
03.23511;485717;141;0;03.48.01.510
03.23162;485718;141;0;03.48.01.510
03.23371;485719;141;0;03.48.01.510
03.22743;485720;141;0;03.48.01.554
