Second,Valence,Arousal,B_BVP,E_Skin_Cond,before_stressed,before_excited,before_sad,before_relaxed,before_german,before_english,after_stressed,after_excited,after_sad,after_relaxed,after_german,after_english
0.5,-5.633,-27.511,35.648,7.215,1,4,1,3,5,4,1,1,1,4,4,4
1.0,-21.508,-4.400,35.688,7.141,1,4,1,3,5,4,1,1,1,4,4,4
1.5,-71.078,-0.467,35.367,7.067,1,4,1,3,5,4,1,1,1,4,4,4
2.0,-133.256,18.303,35.841,6.995,1,4,1,3,5,4,1,1,1,4,4,4
2.5,-145.833,48.240,35.880,6.933,1,4,1,3,5,4,1,1,1,4,4,4
3.0,-138.705,63.501,35.742,6.878,1,4,1,3,5,4,1,1,1,4,4,4
3.5,-72.256,83.547,35.720,6.833,1,4,1,3,5,4,1,1,1,4,4,4
4.0,-127.378,109.897,36.065,6.793,1,4,1,3,5,4,1,1,1,4,4,4
4.5,-154.006,104.110,36.081,6.760,1,4,1,3,5,4,1,1,1,4,4,4
5.0,-43.822,68.578,36.005,6.732,1,4,1,3,5,4,1,1,1,4,4,4
5.5,-33.850,58.583,35.976,6.711,1,4,1,3,5,4,1,1,1,4,4,4
6.0,-11.461,24.292,36.289,6.692,1,4,1,3,5,4,1,1,1,4,4,4
6.5,11.600,13.000,36.202,6.675,1,4,1,3,5,4,1,1,1,4,4,4
7.0,-134.122,63.356,36.033,6.661,1,4,1,3,5,4,1,1,1,4,4,4
7.5,-304.237,68.513,36.182,6.649,1,4,1,3,5,4,1,1,1,4,4,4
8.0,-63.802,71.818,36.417,6.640,1,4,1,3,5,4,1,1,1,4,4,4
8.5,27.611,52.533,36.199,6.631,1,4,1,3,5,4,1,1,1,4,4,4
9.0,19.278,52.533,35.863,6.622,1,4,1,3,5,4,1,1,1,4,4,4
9.5,17.386,52.533,35.438,6.617,1,4,1,3,5,4,1,1,1,4,4,4
10.0,24.007,42.100,35.232,6.619,1,4,1,3,5,4,1,1,1,4,4,4
10.5,28.239,38.460,35.683,6.627,1,4,1,3,5,4,1,1,1,4,4,4
11.0,44.189,37.407,35.537,6.632,1,4,1,3,5,4,1,1,1,4,4,4
11.5,48.367,39.500,35.258,6.636,1,4,1,3,5,4,1,1,1,4,4,4
12.0,70.319,51.382,35.106,6.637,1,4,1,3,5,4,1,1,1,4,4,4
12.5,76.850,57.717,34.441,6.630,1,4,1,3,5,4,1,1,1,4,4,4
13.0,61.939,36.367,34.875,6.616,1,4,1,3,5,4,1,1,1,4,4,4
13.5,82.542,19.540,34.155,6.614,1,4,1,3,5,4,1,1,1,4,4,4
14.0,92.003,23.700,34.822,6.617,1,4,1,3,5,4,1,1,1,4,4,4
14.5,73.204,37.947,35.459,6.619,1,4,1,3,5,4,1,1,1,4,4,4
15.0,67.021,52.467,35.789,6.621,1,4,1,3,5,4,1,1,1,4,4,4
15.5,70.747,52.467,35.603,6.642,1,4,1,3,5,4,1,1,1,4,4,4
16.0,72.784,52.467,35.561,6.707,1,4,1,3,5,4,1,1,1,4,4,4
16.5,82.279,55.256,35.665,6.821,1,4,1,3,5,4,1,1,1,4,4,4
17.0,90.978,53.992,36.037,6.950,1,4,1,3,5,4,1,1,1,4,4,4
17.5,101.067,34.267,35.481,7.052,1,4,1,3,5,4,1,1,1,4,4,4
